file_project,total_downloads
google-cloud-translate,3905932
flask-login,3894317
requests-aws4auth,3893368
cassandra-driver,3883872
jsonpointer,3881932
google-cloud-speech,3876847
certbot-apache,3856769
python-dotenv,3851638
letsencrypt,3836768
python-jwt,3814316
python-memcached,3800211
google-apitools,3790350
dicttoxml,3769456
tensorflow-tensorboard,3757130
google-cloud-error-reporting,3752813
pyodbc,3727517
feedparser,3715903
oslo-utils,3709509
oslo-i18n,3697466
pyperclip,3687009
google-cloud-resource-manager,3669082
mypy,3667864
pendulum,3662879
google-cloud-dns,3659746
pytest-timeout,3656776
certbot-nginx,3656347
pip-tools,3640415
google-cloud-runtimeconfig,3639410
django-environ,3619701
pkginfo,3597234
debtcollector,3590340
geographiclib,3559404
fastavro,3553636
semver,3552673
oslo-config,3543085
google-cloud-videointelligence,3535320
jira,3524766
azure-graphrbac,3512272
cytoolz,3508355
ipdb,3472799
python-json-logger,3471963
azure-mgmt-rdbms,3471494
paho-mqtt,3459153
pysftp,3455035
azure-mgmt-dns,3445951
w3lib,3444167
semantic-version,3435651
scp,3429368
retry,3418036
coreapi,3416642
azure-keyvault,3398497
pytzdata,3394628
pycountry,3388702
dogpile-cache,3383619
zeep,3377992
jpype1,3376595
pyhive,3374566
moto,3365264
kafka-python,3363130
pytest-django,3362007
eventlet,3328700
phonenumbers,3321410
rfc3986,3320759
oslo-serialization,3311543
coreschema,3286181
webtest,3265879
itypes,3259476
colorlog,3259255
suds-jurko,3207590
jsonpatch,3203233
coloredlogs,3202592
parse,3198639
azure-mgmt-containerinstance,3187046
idna-ssl,3176829
enum,3172705
graphql-core,3153204
frida,3134301
jsondiff,3132610
qds-sdk,3131529
pymssql,3129099
sh,3111964
hypothesis,3111458
cmd2,3106886
dictdiffer,3101891
zope-deprecation,3094891
blessings,3085921
humanize,3074936
influxdb,3056474
testtools,3053782
bokeh,3053080
setproctitle,3043229
youtube-dl,3039683
azure-mgmt-containerservice,3038732
gapic-google-cloud-error-reporting-v1beta1,3037499
numexpr,3029428
libtmux,3026087
stripe,3024615
keystoneauth1,3021449
spacy,3015400
proto-google-cloud-error-reporting-v1beta1,2989505
thinc,2987125
pypdf2,2982486
sasl,2961928
python-gflags,2960583
azure-cli-core,2957185
extras,2953043
coveralls,2946325
preshed,2946199
